id,guid_dashed,name_en,faction,color,set,rarity_int,rarity_engine,setAndRarityKey,sun_cost,attack,health,display_sun,display_attack,display_health,crafting_buy,crafting_sell,is_hero,is_power,is_fighter,is_env,is_aquatic,is_teamup,is_burst,is_surprise,is_board_ability,is_unusable,usable,n_components_top,n_components_total,n_abilities,subtype_names,tags
1,2f9fa005-8b50-4d1a-89be-38e4a82036c4,Guacodile,Plants,Guardian,Gold,2,R3,Bloom_SuperRare,4,4,3,4,4,3,1000,250,False,False,True,False,True,False,False,False,False,False,True,11,23,1,"Fruit, Animal","destroy, anyplantfighter, anyaquaticplantfighter, notpineclone, aquatic, cost6orless, randomplantcard"
2,52827e9d-5e5a-49fa-85f5-07d2dd72ae67,Chimney Sweep,Zombies,Brainy,Gold,0,R1,Bloom_Common,1,2,1,1,2,1,50,15,False,False,True,False,False,False,False,False,False,False,True,9,20,1,Professional,"weenie, randomzombie, can be transmogrified, randomzombiefighter, rush, 2costzombie"
3,51457c7b-f561-4250-9e29-a0e4bbd34cce,Conga Zombie,Zombies,Madcap,Gold,0,R1,Bloom_Common,2,2,2,2,2,2,50,15,False,False,True,False,False,False,False,False,False,False,True,10,26,1,"Dancing, Barrel","weenie, damage, 2costzombie, randomzombie, can be gravestone, can be transmogrified, gravestone, randomzombiefighter"
4,6d77251a-5596-4d56-83eb-4e775c0bc56c,Tennis Champ,Zombies,Madcap,Gold,0,R1,Bloom_Common,1,1,1,1,1,1,50,15,False,False,True,False,False,False,False,False,False,False,True,10,20,1,Sports,"weenie, rush, randomzombie, can be transmogrified, randomzombiefighter, 2costzombie"
5,f1ce571d-1b77-4310-b922-91ab9c1a89c5,Conehead,Zombies,Hearty,Silver,4,R0,Dawn_Common,2,2,2,2,2,2,25,0,False,False,True,False,False,False,False,False,False,False,True,9,9,0,Professional,"defense, randomzombie, can be transmogrified, randomzombiefighter, 2costzombie, weenie"
6,13460c21-ad49-4b22-95f5-d1c95086c660,All-Star Zombie,Zombies,Hearty,Gold,2,R3,Bloom_SuperRare,5,4,6,5,4,6,1000,250,False,False,True,False,False,False,False,False,False,False,True,11,11,0,Sports,"fatty, randomzombie, destroy, randomzombiefighter"
7,03887b4d-9cd9-4f11-86ea-91954f789230,Smashing Pumpkin,Plants,Solar,Silver,4,R0,Dawn_Common,6,6,6,6,6,6,25,0,False,False,True,False,False,False,False,False,False,False,True,8,8,0,Squash,"fatty, anyplantfighter, notpineclone, cost6orless, randomplantcard, mayflower"
8,353d7ec7-66b8-49b3-abd0-25c990b85948,Navy Bean,Plants,Smarty,Gold,1,R2,Bloom_Rare,4,3,3,4,3,3,250,50,False,False,True,False,True,True,False,False,False,False,True,11,24,1,Bean,"anyplantfighter, anyaquaticplantfighter, notpineclone, aquatic, cost6orless, randomplantcard, mayflower"
9,4f6ad95c-e9c3-43ea-95cf-223e47302f51,Pismashio,Plants,Guardian,Silver,4,R0,Dawn_Common,2,2,4,2,2,4,25,0,False,False,True,False,False,True,False,False,False,False,True,9,9,0,Nut,"anyplantfighter, notpineclone, cost6orless, randomplantcard, weenie"
10,43d3b20a-90b4-4a34-8d55-674b02a38dc1,Peashooter,Plants,MegaGro,Silver,4,R0,Dawn_Common,1,1,1,1,1,1,25,0,False,False,True,False,False,False,False,False,False,False,True,8,8,0,Peashooter,"anyplantfighter, basicpeashooter, bad, notpineclone, plantfighter6orless, randomplantcard, cost6orless, madebygardener"
11,097a247f-676a-41fa-9bd2-1f7fbdd315ba,Squash,Plants,Solar,Silver,4,R0,Dawn_Common,5,,,5,0,0,25,0,False,False,False,False,False,False,True,False,False,False,True,8,17,1,Squash,"destroy, randomplantcard, mayflower"
12,025093e5-62a5-4085-a854-569fab0e4839,Bungee Plumber,Zombies,Madcap,Silver,4,R0,Dawn_Common,1,,,1,0,0,25,0,False,False,False,False,False,False,True,True,False,False,True,9,22,1,"Professional, Mustache","damage, randomzombie, destroy, randomzombietrick"
15,9c6b2087-5a6d-43fa-bc96-63f6b6d4c6eb,Monster Mash,Zombies,Hearty,Gold,1,R2,Bloom_Rare,5,,,5,0,0,250,50,False,False,False,False,False,False,True,True,False,False,True,9,18,1,"Dancing, Monster","buff, randomzombie, randomzombietrick, attack"
18,43cec3db-8b28-4e3d-8666-863a3d7bde2d,Sour Grapes,Plants,Kabloom,Gold,1,R2,Bloom_Rare,4,2,2,4,2,2,250,50,False,False,True,False,False,False,False,False,False,False,True,9,18,1,Berry,"destroy, anyplantfighter, notpineclone, cost6orless, randomplantcard"
19,75c55047-041e-4b80-8979-79e295477378,Cabbage-Pult,Plants,MegaGro,Silver,4,R0,Dawn_Common,2,2,3,2,2,3,25,0,False,False,True,False,False,False,False,False,False,False,True,9,20,1,Leafy,"weenie, anyplantfighter, notpineclone, cost6orless, randomplantcard"
20,057cfef7-26b0-4701-84e5-5c8e0707d3b3,Grow-Shroom,Plants,MegaGro,Silver,4,R0,Dawn_Common,3,2,1,3,2,1,25,0,False,False,True,False,False,False,False,False,False,False,True,9,23,1,Mushroom,"buff, anyplantfighter, notpineclone, attack, cost6orless, randomplantcard"
21,8d093f6d-f44a-4b97-9245-19c2f68a1d17,Berry Angry,Plants,Kabloom,Gold,0,R1,Bloom_Common,3,,,3,0,0,50,15,False,False,False,False,False,False,True,False,False,False,True,8,17,1,Berry,"weenie, attack, needsfighter, randomplantcard"
22,2a897076-e81b-4d55-ae18-aa83d0485865,Medic,Zombies,Hearty,Silver,4,R0,Dawn_Common,4,3,3,4,3,3,25,0,False,False,True,False,False,False,False,False,False,False,True,9,27,1,Professional,"randomzombie, heal, randomzombiefighter"
23,334d36b6-01b0-41e3-aa8a-fe0b15f5ab50,Fishy Imp,Zombies,Sneaky,Silver,4,R0,Dawn_Common,2,3,1,2,3,1,25,0,False,False,True,False,True,False,False,False,False,False,True,9,9,0,"Imp, Pet","weenie, rush, 2costzombie, randomzombie, can be transmogrified, aquatic, randomzombiefighter"
24,31e2da4d-8773-4896-9870-838dddc08f60,The Chickening,Zombies,Madcap,Gold,1,R2,Bloom_Rare,4,,,4,0,0,250,50,False,False,False,False,False,False,True,True,False,False,True,9,18,1,Pet,"destroy, randomzombie, randomzombietrick"
25,8866dd42-ed4e-4804-9005-e3a4c510e1a2,Precision Blast,Plants,"MegaGro, Smarty",Hero,3,R4,Bloom_Legendary,1,,,1,0,0,0,0,True,True,False,False,False,False,True,False,False,False,True,9,16,1,Peashooter,
26,51ecff67-ba4e-46ba-ad1b-5426b1381d4e,Slammin' Smackdown,Zombies,"Hearty, Hungry",Hero,3,R4,Bloom_Legendary,1,,,1,0,0,0,0,True,True,False,False,False,False,True,True,False,False,True,10,20,1,Gargantuar,
27,bf160ce3-de2e-4ff6-88d4-d295a97fea58,Carried Away,Zombies,"Brainy, Sneaky",Hero,3,R4,Bloom_Legendary,1,,,1,0,0,0,0,True,True,False,False,False,False,True,True,False,False,True,10,39,3,Party,
28,02d53162-6431-4bd3-b1df-16f03d690ced,Imp,Zombies,Sneaky,Silver,4,R0,Dawn_Common,1,1,1,1,1,1,25,0,False,False,True,False,False,False,False,False,False,False,True,8,8,0,Imp,"weenie, randomzombie, randomzombiefighter, can be transmogrified, bad, 2costzombie, madebyzucchini"
29,063a10ac-db16-45b1-99c7-079e6643e291,Sea-Shroom,Plants,Guardian,Gold,0,R1,Bloom_Common,1,2,2,1,2,2,50,15,False,False,True,False,True,False,False,False,False,False,True,9,9,0,Mushroom,"weenie, anyplantfighter, anyaquaticplantfighter, notpineclone, aquatic, cost6orless, randomplantcard"
30,08e238e9-165b-454b-a941-4d0b0548b2b4,Smoosh-Shroom,Plants,Smarty,Silver,4,R0,Dawn_Common,5,5,4,5,5,4,25,0,False,False,True,False,False,False,False,False,False,False,True,8,8,0,Mushroom,"fatty, anyplantfighter, notpineclone, cost6orless, randomplantcard"
31,195a7fc7-718f-413a-9109-a5825600db7a,Bonk Choy,Plants,MegaGro,Gold,0,R1,Bloom_Common,1,2,1,1,2,1,50,15,False,False,True,False,False,True,False,False,False,False,True,11,21,1,Leafy,"weenie, anyplantfighter, notpineclone, cost6orless, randomplantcard, rush"
32,4b0455b2-9e87-4bd5-aa44-c97eeb5b67d5,Vanilla,Plants,Smarty,Gold,0,R1,Bloom_Common,3,3,3,3,3,3,50,15,False,False,True,False,False,False,False,False,False,False,True,8,8,0,"Bean, Flower","anyplantfighter, notpineclone, cost6orless, randomplantcard"
33,2cbca8f4-1cd6-46ce-bca0-032d841c8916,Bluesberry,Plants,Kabloom,Gold,0,R1,Bloom_Common,5,3,3,5,3,3,50,15,False,False,True,False,False,False,False,False,False,False,True,9,25,1,Berry,"damage, anyplantfighter, notpineclone, destroy, cost6orless, randomplantcard"
35,1c6baedc-ca29-4257-b15a-433078d24049,Zapricot,Plants,Kabloom,Silver,4,R0,Dawn_Common,3,4,1,3,4,1,25,0,False,False,True,False,False,False,False,False,False,False,True,8,8,0,Fruit,"anyplantfighter, weenie, notpineclone, cost6orless, randomplantcard"
36,a5d5a695-ec1a-47c5-aea8-3812dbd2a7f0,Berry Blast,Plants,Kabloom,Silver,4,R0,Dawn_Common,2,,,2,0,0,25,0,False,False,False,False,False,False,True,False,False,False,True,8,21,1,Berry,"damage, destroy, randomplantcard"
37,8ba8f370-687d-4721-bb53-dadb7f37469e,Storm Front,Plants,Kabloom,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,False,False,False,True,8,17,1,,"weenie, attack, rush, defense"
38,fe39cd69-bbe5-45ef-92fc-8c235e79de47,Meteor Strike,Plants,Kabloom,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,False,False,False,True,8,17,1,,destroy
39,a0b225ce-0617-4197-bd44-3234168231e9,Fire Peashooter,Plants,MegaGro,Gold,0,R1,Bloom_Common,2,3,2,2,3,2,50,15,False,False,True,False,False,False,False,False,False,False,True,8,8,0,Peashooter,"weenie, anyplantfighter, notpineclone, cost6orless, randomplantcard"
40,3fbd38c3-b5ab-4988-8e60-64791b88d931,Flourish,Plants,MegaGro,Silver,4,R0,Dawn_Common,3,,,3,0,0,25,0,False,False,False,False,False,False,True,False,False,False,True,8,17,1,Flower,"draw, needsfighter, randomplantcard"
41,b527676a-df7a-4e75-8b93-f93a92c0fd4d,Fertilize,Plants,MegaGro,Silver,4,R0,Dawn_Common,3,,,3,0,0,25,0,False,False,False,False,False,False,True,False,False,False,True,7,16,1,,"buff, needsfighter, attack, randomplantcard"
42,1e4e55f9-37b6-4429-a874-d9d33c81f9ff,Embiggen,Plants,MegaGro,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,False,False,False,True,8,17,1,,buff
43,045dd030-f276-4f53-92e0-ca1363474b60,Skyshooter,Plants,MegaGro,Gold,0,R1,Bloom_Common,4,3,3,4,3,3,50,15,False,False,True,False,False,False,False,False,False,False,True,9,20,1,Peashooter,"fatty, anyplantfighter, notpineclone, cost6orless, randomplantcard"
44,c1862d23-cabc-4237-9f9b-715069d8afec,Holo-Flora,Plants,MegaGro,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,False,False,False,True,8,17,1,,draw
45,867a395d-ca39-40a0-a967-6db7fb160bf9,Cattail,Plants,Smarty,Silver,4,R0,Dawn_Common,3,3,2,3,3,2,25,0,False,False,True,False,True,False,False,False,False,False,True,9,9,0,Animal,"anyplantfighter, anyaquaticplantfighter, notpineclone, aquatic, weenie, cost6orless, randomplantcard"
46,51e8baca-57d5-440b-a5d8-a4f1b20bf1e9,2nd-Best Taco of All Time,Plants,Solar,Gold,2,R3,Bloom_SuperRare,3,,,3,0,0,1000,250,False,False,False,False,False,False,True,False,False,False,True,7,35,2,,"needsfighter, heal, randomplantcard"
47,b7b20765-f67c-488a-8b98-ad4eaa11c900,Weed Whack,Plants,Solar,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,False,False,False,True,9,18,1,Root,destroy
48,fffd2e60-ca1b-4987-88e6-7d1b9d2d2beb,Scorched Earth,Plants,Solar,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,False,False,False,True,8,18,1,,destroy
49,2fe49558-6272-4d39-9e19-614141e9deb3,Cell Phone Zombie,Zombies,Brainy,Gold,0,R1,Bloom_Common,2,1,1,2,1,1,50,15,False,False,True,False,False,False,False,False,False,False,True,9,21,1,Professional,"draw, 2costzombie, randomzombie, can be transmogrified, weenie, randomzombiefighter"
50,1e43c3ef-a5c1-4abe-b659-d74263f7c51f,Zombie,Zombies,Hearty,Token,4,R0,Token,1,1,1,1,1,1,0,0,False,False,True,False,False,False,False,False,False,False,True,8,8,0,Professional,"bad, cheats"
51,e6683b72-15af-4e30-8003-394e8c35e32f,Fun-Dead Raiser,Zombies,Brainy,Silver,4,R0,Dawn_Common,3,,,3,0,0,25,0,False,False,False,False,False,False,True,True,False,False,True,9,18,1,Party,"draw, needsfighter, randomzombie, randomzombietrick"
52,1c5a1e68-01a0-4ab1-8bf7-4179fc70ca7b,Drum Major,Zombies,Brainy,Silver,4,R0,Dawn_Common,4,4,4,4,4,4,25,0,False,False,True,False,False,False,False,False,False,False,True,8,8,0,"Dancing, Sports","randomzombie, randomzombiefighter"
53,3f1c789c-9e33-4f6a-bc30-104acc53d837,Kite Flyer,Zombies,Brainy,Gold,1,R2,Bloom_Rare,3,1,3,3,1,3,250,50,False,False,True,False,False,False,False,False,False,False,True,11,25,1,"History, Science","draw, randomzombie, can be gravestone, weenie, gravestone, randomzombiefighter"
54,0935041d-0d31-490e-aa94-6db3d8310c02,Landscaper,Zombies,Hearty,Gold,2,R3,Bloom_SuperRare,3,2,3,3,2,3,1000,250,False,False,True,False,False,False,False,False,False,False,True,10,22,1,"Professional, Mustache","control, randomzombie, can be gravestone, gravestone, randomzombiefighter"
55,efc5f190-af7e-4a43-a3b1-a741b7e35347,Rock Wall,Zombies,Hearty,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,True,False,False,True,9,18,1,,defense
56,dad1fd87-a967-4ec1-bd0b-4e170a0e4ce8,Heroic Health,Zombies,Hearty,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,True,False,False,True,9,19,1,,heal
57,6a0c866a-6d4f-4e3e-a034-473ad1987be7,Terrify,Zombies,Hearty,Gold,0,R1,Bloom_Common,2,,,2,0,0,50,15,False,False,False,False,False,False,True,True,False,False,True,8,28,2,,"control, needsfighter, randomzombie, randomzombietrick"
58,54b0df99-c255-49da-a18e-a8c0068db7a1,Snorkel Zombie,Zombies,Hungry,Gold,0,R1,Bloom_Common,1,2,1,1,2,1,50,15,False,False,True,False,True,False,False,False,False,False,True,9,9,0,Party,"weenie, randomzombie, can be transmogrified, randomzombiefighter, aquatic, 2costzombie"
59,db202cfa-68ff-4a36-9c7a-87a6228a5f02,Vitamin Z,Zombies,Hungry,Gold,1,R2,Bloom_Rare,3,,,3,0,0,250,50,False,False,False,False,False,False,True,True,False,False,True,9,18,1,Gourmet,"buff, needsfighter, randomzombie, randomzombietrick, attack"
60,4216e32d-6537-4705-ba6a-cfe373a82f01,Locust Swarm,Zombies,Hungry,Silver,4,R0,Dawn_Common,5,,,5,0,0,25,0,False,False,False,False,False,False,True,True,False,False,True,9,18,1,Pet,"destroy, randomzombie, randomzombietrick"
61,50c383b3-88d2-4dac-8d0f-e558a770494b,Cat Lady,Zombies,Hungry,Gold,2,R3,Bloom_SuperRare,1,,3,1,0,3,1000,250,False,False,True,False,False,False,False,False,False,False,True,9,24,1,Pet,"randomzombie, can be transmogrified, randomzombiefighter, narrow, weenie, 2costzombie"
62,f4eb02ae-1d87-4200-812f-b20ad02ab8c7,Dolphin Rider,Zombies,Hungry,Silver,4,R0,Dawn_Common,3,3,2,3,3,2,25,0,False,False,True,False,True,False,False,False,False,False,True,9,9,0,Pet,"randomzombie, aquatic, weenie, randomzombiefighter"
63,e8e1dd57-70ec-42f8-b4e9-44bb0b52f5ab,Galvanize,Zombies,Hungry,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,True,False,False,True,9,18,1,,"buff, attack, defense"
64,3e290224-8f40-4cd9-8c02-49eb16c574ab,Nibble,Zombies,Hungry,Gold,0,R1,Bloom_Common,1,,,1,0,0,50,15,False,False,False,False,False,False,True,True,False,False,True,9,30,2,Gourmet,"destroy, needsfighter, randomzombie, heal, randomzombietrick"
65,993fec89-2d80-47be-a9e4-ac5b8856a0fa,Deep Sea Gargantuar,Zombies,Hungry,Gold,2,R3,Bloom_SuperRare,6,6,6,6,6,6,1000,250,False,False,True,False,True,False,False,False,False,False,True,10,123,5,"Gargantuar, Monster","fatty, gargantuar, randomzombie, aquatic, randomzombiefighter"
66,235d9d98-deb4-4187-b78d-7cd54fd49b17,Zombot 1000,Zombies,Hungry,Gold,3,R4,Bloom_Legendary,9,9,9,9,9,9,4000,1000,False,False,True,False,False,False,False,False,False,False,True,10,42,2,"Science, Gargantuar","fatty, destroy, gargantuar, randomzombie, randomzombiefighter, zombielegend"
67,fbc3281d-017e-4578-9dc7-f67247adf8b3,Cuckoo Zombie,Zombies,Madcap,Silver,4,R0,Dawn_Common,2,4,1,2,4,1,25,0,False,False,True,False,False,False,False,False,False,False,True,8,8,0,Pet,"weenie, rush, 2costzombie, can be transmogrified, randomzombiefighter, randomzombie"
68,c7a61f25-67ab-4586-967c-0761d88b8f7d,Electrobolt,Zombies,Madcap,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,True,False,False,True,9,18,1,,damage
69,bce69fef-4a03-4e1f-822c-265efc247302,Brute Strength,Zombies,Madcap,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,True,False,False,True,9,18,1,,"attack, weenie, rush"
70,ba910304-5208-414a-b2e4-e51059c8201d,Cakesplosion,Zombies,Madcap,Gold,0,R1,Bloom_Common,4,,,4,0,0,50,15,False,False,False,False,False,False,True,True,False,False,True,9,18,1,"Imp, Party","randomzombie, randomzombietrick, destroy"
71,69cd560b-ad31-46b7-98f0-c54ad5a39b98,Walrus Rider,Zombies,Sneaky,Gold,1,R2,Bloom_Rare,5,3,4,5,3,4,250,50,False,False,True,False,True,False,False,False,False,False,True,11,21,1,"Imp, Pet","fatty, randomzombie, aquatic, poison, randomzombiefighter"
72,fcbde864-ed01-4402-976c-e056da23a79d,Uncrackable,Plants,"Guardian, Solar",Hero,3,R4,Bloom_Legendary,1,,,1,0,0,0,0,True,True,False,False,False,False,True,False,False,False,True,10,28,2,Nut,defense
73,611ddfb2-e48a-4054-b1f9-d0eb01c3fd7f,Blazing Bark,Plants,"Kabloom, MegaGro",Hero,3,R4,Bloom_Legendary,1,,,1,0,0,0,0,True,True,False,False,False,False,True,False,False,False,True,9,18,1,Tree,
74,c24eee97-5ec6-4eec-833d-3b3dea0242bb,Shrink Ray,Zombies,"Brainy, Hearty",Hero,3,R4,Bloom_Legendary,1,,,1,0,0,0,0,True,True,False,False,False,False,True,True,False,False,True,10,28,2,Science,
75,7a20f621-d60a-4bb6-9989-9e800df880d2,Sunburn,Plants,"Kabloom, Solar",Hero,3,R4,Bloom_Legendary,1,,,1,0,0,0,0,True,True,False,False,False,False,True,False,False,False,True,9,31,2,Flower,
76,b8299cd4-ab57-4484-8dd7-9b5c0a61a0bd,Admiral Navy Bean,Plants,Smarty,Gold,1,R2,Bloom_Rare,1,1,1,1,1,1,250,50,False,False,True,False,True,True,False,False,False,False,True,12,30,1,Bean,"anyplantfighter, anyaquaticplantfighter, notpineclone, aquatic, cost6orless, narrow, randomplantcard, mayflower"
77,6d9084e1-7efb-472b-9205-362e1aa45015,Wall-Nut,Plants,Guardian,Silver,4,R0,Dawn_Common,1,,6,1,0,6,25,0,False,False,True,False,False,True,False,False,False,False,True,9,9,0,Nut,"defense, anyplantfighter, teamup, notpineclone, cost6orless, randomplantcard"
78,bff0d95a-5aa1-4b80-b62c-c98e82f51dee,Cactus,Plants,Guardian,Gold,0,R1,Bloom_Common,3,2,5,3,2,5,50,15,False,False,True,False,False,False,False,False,False,False,True,9,9,0,"Cactus, Flower","truestrike, anyplantfighter, notpineclone, cost6orless, randomplantcard"
79,9dd40a2b-0bf0-46a9-86af-ecdbcbd80e0d,Steel Magnolia,Plants,Guardian,Gold,0,R1,Bloom_Common,3,3,2,3,3,2,50,15,False,False,True,False,False,False,False,False,False,False,True,9,27,1,Flower,"defense, notpineclone, cost6orless, randomplantcard, anyplantfighter"
80,09f699a1-6cea-439a-bf77-2d428df13fab,Jugger-Nut,Plants,Guardian,Gold,2,R3,Bloom_SuperRare,3,2,3,3,2,3,1000,250,False,False,True,False,False,True,False,False,False,False,True,11,11,0,Nut,"defense, anyplantfighter, notpineclone, truestrike, weenie, cost6orless, randomplantcard"
81,fb0b76aa-ee92-4fd8-9847-7475127ea599,Smackadamia,Plants,Guardian,Gold,1,R2,Bloom_Rare,5,4,5,5,4,5,250,50,False,False,True,False,True,False,False,False,False,False,True,10,23,1,Nut,"defense, anyplantfighter, notpineclone, aquatic, cost6orless, narrow, randomplantcard"
82,48435dcd-67eb-4da6-8ab5-92cafb76b3f7,Poppin' Poppies,Plants,Guardian,Gold,3,R4,Bloom_Legendary,6,4,4,6,4,4,4000,1000,False,False,True,False,False,False,False,False,False,False,True,9,25,1,Flower,"anyplantfighter, defense, notpineclone, teamup, cost6orless, randomplantcard, plantlegend"
83,4d2d3072-1641-49ee-8fb4-e22df0382377,Hibernating Beary,Plants,Guardian,Gold,1,R2,Bloom_Rare,3,,8,3,0,8,250,50,False,False,True,False,False,False,False,False,False,False,True,9,19,1,"Berry, Animal","fatty, notpineclone, cost6orless, randomplantcard, anyplantfighter"
84,38fa5de6-cde9-4de7-9c46-7882bf25182b,Potato Mine,Plants,Guardian,Gold,0,R1,Bloom_Common,1,,1,1,0,1,50,15,False,False,True,False,False,True,False,False,False,False,True,11,23,1,Root,"teamup, destroy, anyplantfighter, notpineclone, cost6orless, potatomine, randomplantcard"
86,3285fbe6-1405-4bbb-9668-a231ae6af722,Bubble Up,Plants,Guardian,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,False,False,False,True,8,37,3,,"defense, control"
87,55e039d0-cee7-4cf7-be45-7a6e1cf96495,Grave Buster,Plants,Guardian,Gold,1,R2,Bloom_Rare,2,,,2,0,0,250,50,False,False,False,False,False,False,True,False,False,False,True,8,15,1,Root,"destroy, randomplantcard"
88,cae163ff-5524-47c4-b836-7062fb14b3a0,Water Chestnut,Plants,Guardian,Gold,0,R1,Bloom_Common,2,,8,2,0,8,50,15,False,False,True,False,True,True,False,False,False,False,True,10,10,0,"Root, Nut","teamup, defense, anyplantfighter, anyaquaticplantfighter, notpineclone, aquatic, cost6orless, randomplantcard"
89,e093a94c-1a47-42e8-a23c-c6db1bf1b1eb,Sting Bean,Plants,Guardian,Silver,4,R0,Dawn_Common,1,1,2,1,1,2,25,0,False,False,True,False,True,True,False,False,False,False,True,11,11,0,"Bean, Peashooter","weenie, truestrike, anyplantfighter, anyaquaticplantfighter, notpineclone, aquatic, cost6orless, randomplantcard, mayflower"
90,910b506e-b3c2-4fdc-ae7c-d420121bf694,Pea-Nut,Plants,Guardian,Gold,0,R1,Bloom_Common,3,2,4,3,2,4,50,15,False,False,True,False,False,True,False,False,False,False,True,10,10,0,"Peashooter, Nut","defense, teamup, anyplantfighter, notpineclone, weenie, cost6orless, randomplantcard"
